Posted on: 2022-12-14; at: 00:05,CONFLUENTINC,"Explore how an event-driven #datamesh reduces barriers between operational and analytical use-cases, while simultaneously enabling both real-time applications and batch-based jobs. 
📕 Get the Ebook https://t.co/DJp0KfJlvj https://t.co/xWr9l1B2l8",2022-12-14 00:05:02+00:00
Posted on: 2022-12-13; at: 20:05,CONFLUENTINC,"Knock out your 2022 learning goals with #ApacheKafka 101! Get an introduction to @apachekafka events—notification and state, serialization and deserialization, ingestion, along with other basics on Confluent Developer → https://t.co/dpa0yYPV9n https://t.co/hmpPv12yIM",2022-12-13 20:05:03+00:00
Posted on: 2022-12-12; at: 21:00,CONFLUENTINC,"Join us Wed, Dec 14th at 4 pm PDT for a #KafkaMeetup on #DataMesh. We'll cover:
🔹The principles of data mesh and event-driven data products
🔹A prototype showcasing the implementation of Data Mesh, based on Confluent Cloud
RSVP here 👉 https://t.co/SkEzppQfLp https://t.co/CtB8EbPOjP",2022-12-12 21:00:57+00:00
Posted on: 2022-12-05; at: 20:05,CONFLUENTINC,"The #datamesh concept is relatively new but the problems it proposes to solve are not. Our 🆕 Ebook covers the historical issues of data access, how data mesh architecture can solve these problems, and how event streams play into this modern data stack. https://t.co/DJp0KfJlvj https://t.co/nWS5RsyerP",2022-12-05 20:05:02+00:00
Posted on: 2022-06-14; at: 17:37,DASK_DEV,As part of the @dask_dev rebrand we have refreshed our YouTube channel https://t.co/8aOomr7Dcy. Here is a new video from a recent event @odsc  https://t.co/9Msp7pNiE5,2022-06-14 17:37:04+00:00
Posted on: 2023-01-20; at: 17:00,DAGSTER,"Catch Jonathan Neo from @canva at this year's Data Teams Summit on Jan 25th as he presents:

""The future of data orchestration: asset-based orchestration""

Featuring @getdbt , @AirbyteHQ , and @dagster

The event is free, virtual, and you can sign up here: https://t.co/P5fjAQeeN2",2023-01-20 17:00:34+00:00
Posted on: 2023-01-19; at: 21:49,DAGSTER,"During this event you will hear from practitioners, implementation partners and the Elementl team on the benefits of making this transition, a review of the tooling, plus user case studies.

https://t.co/Sd6hjD6Ly7",2023-01-19 21:49:05+00:00
Posted on: 2023-01-04; at: 22:45,DAGSTER,"Finally, we are planning a showcase event in February to share case studies and practical hands-on guides for teams looking to make this migration.

Sign up for our newsletter and stay in the loop on all the details!

6/6

https://t.co/MZr1znEZZO",2023-01-04 22:45:08+00:00
Posted on: 2023-01-04; at: 22:45,DAGSTER,"Looking to migrate away from Apache Airflow? With Dagster, we provide built-in utilities to help you seamlessly transition away from the legacy platform.

Here are four new resources and an upcoming event to help teams migrate to Dagster!

🧵 1/6 https://t.co/Nu5OVu74la",2023-01-04 22:45:04+00:00
Posted on: 2022-12-22; at: 20:16,DAGSTER,"Many ETL workflows start off as scripts.

After building these scripts, you need to put them into production. You want things like...

⏱️ Event or schedule-based triggers
🔍 Observability into your computations and data

and more!

Dagster provides all of this out-of-the-box. https://t.co/bVBQ2Mn3YG",2022-12-22 20:16:47+00:00
Posted on: 2022-12-06; at: 14:00,DAGSTER,"Join us for this special virtual event.  Add the reminder to your calendar here:
Google: https://t.co/UXo5sIwzsS
Office365: https://t.co/l4gsJa5coz
iCal: https://t.co/sSg7M6y6G7
Yahoo: https://t.co/pMrpggz0pv",2022-12-06 14:00:04+00:00
Posted on: 2022-12-05; at: 17:44,DAGSTER,"Join us for this special virtual event.  Add the reminder to your calendar here:
Google: https://t.co/UXo5sIwzsS
Office365: https://t.co/l4gsJa5coz
iCal: https://t.co/sSg7M6y6G7
Yahoo: https://t.co/pMrpggz0pv",2022-12-05 17:44:26+00:00
Posted on: 2023-01-03; at: 17:13,DBT_LABS,New or intermediate @Snowflake developer? We've teamed with @MTL_analytics and Snowflake on a webinar that discusses using dbt to get the most of out Snowflake's flexible compute model. Join us on January 18 to learn more 👉 https://t.co/4OAL8oucXv,2023-01-03 17:13:59+00:00
Posted on: 2022-10-17; at: 19:39,DBT_LABS,"Congrats and 🎉to all 2022 Gold dbt Certification Award winners, each with 10-19 team members certified!
🏅@analytics8
🏅@Atos
🏅@JoonSolutions
🏅@WeAreServian

Full winner list on the way https://t.co/QzdN5ES6vQ
#dbtPartnerDay #dbtCoalesce",2022-10-17 19:39:00+00:00
Posted on: 2022-10-17; at: 19:35,DBT_LABS,"Congrats and 🙌 to 2022 Platinum dbt Certification Award winners, each with 20+ team members certified! 
🏅 @BrooklynData
🏅 @indicium_tech
🏅Infinite Lambda
🏅 @MTL_Analytics

Full winner list on the way https://t.co/hLIbZX0HAv
#dbtPartnerDay #dbtCoalesce",2022-10-17 19:35:15+00:00
Posted on: 2022-10-17; at: 19:33,DBT_LABS,"Congrats and 👏 to all 2022 Silver dbt Certification Award winners, each with 5-9 team members certified!
🏅@AimpointDigital
🏅Hiflylabs
🏅@knowitab
🏅@phdatainc

#dbtPartnerDay #dbtCoalesce
Full winner list on the way https://t.co/ajtliySR8B",2022-10-17 19:33:20+00:00
Posted on: 2022-09-19; at: 11:44,DBT_LABS,"Batter up! We're joining Cleartelligence, Inc.for their 7th annual ""Chart Champ"" event on Sep 22 at the iconic Fenway Park in Boston, MA. For analysts creating visualizations or data engineers working on ELT and cloud warehousing, come and hit a grand slam with your data stack https://t.co/65QguKyj0i",2022-09-19 11:44:00+00:00
Posted on: 2022-07-20; at: 12:32,DBT_LABS,"Hello UK 🇬🇧!! 

We’re excited to announce that we’ll be at #BigDataLDN, the UK’s leading data and analytics event on September 21-22. Register now https://t.co/6SQfp78rz9",2022-07-20 12:32:49+00:00
Posted on: 2022-06-07; at: 15:10,DBT_LABS,"If you’re heading to #SnowflakeSummit in Vegas next week, we can have our next meeting in-person 🤗! 

We’re going to have a major presence at this year’s conference, check out what we’ll be up to here ➡️  https://t.co/LONLJoRGg6",2022-06-07 15:10:52+00:00
Posted on: 2022-04-26; at: 18:09,DBT_LABS,"Want to see dbt in action 👀? Join this webinar on May 3rd to hear from Lucid on how they used the data cloud to build a unified view of multiple data sources across their enterprise.

Sign up ➡️ https://t.co/X1W66ZW5jI",2022-04-26 18:09:23+00:00
Posted on: 2021-12-07; at: 14:00,DBT_LABS,"Attend dbt 101 at #dbtcoalesce yesterday? We now have 5 free courses live in the dbt Learn portal!

🧮  Fundamentals (+ get a badge for LinkedIn)
✨ Materializations
🌱 Analyses &amp; Seeds
🎁 Macros and packages
🔁 Refactoring for modularity

Check it out: https://t.co/JYgEXaaQMf https://t.co/ng0PyVCNsG",2021-12-07 14:00:30+00:00
Posted on: 2021-09-15; at: 13:32,DBT_LABS,"dbt Labs ❤️ open source.

That’s why we’re joining some friends to discuss open source data strategy on Sept 28-30. Don’t miss @j_schottenstein, current PM (and podcast co-host) at dbt Labs, former VC, and all-around open source savvy human. 

https://t.co/dUabLJu2Ne",2021-09-15 13:32:34+00:00
Posted on: 2020-09-08; at: 14:09,DBT_LABS,"We're not going to spill the beans yet, but there is a pretty cool session in the works with our CEO, @jthandy and some *very important* people in the data space. 

Looking forward to being part of this event. https://t.co/9MpflucjKi",2020-09-08 14:09:00+00:00
